CustomerID,Recency,EngagementDays,Frequency,Monetary,UniqueProducts,TotalQuantity,Country,AvgBasketSize,AvgSpendPerTxn,ChurnLabel
12454,55,1,1,3528.34,15,1006,Spain,1006.0,3528.34,1
12455,72,224,6,2466.86,85,2089,Cyprus,348.1666666666667,411.1433333333334,1
12456,43,211,3,3181.04,105,1633,Switzerland,544.3333333333334,1060.3466666666666,1
12457,65,173,7,2363.23,53,843,Switzerland,120.42857142857143,337.6042857142857,1
12458,70,214,2,947.4,35,506,Switzerland,253.0,473.7,1
12461,93,61,2,826.88,35,287,Switzerland,143.5,413.44,1
12462,18,285,2,1189.59,51,536,Spain,268.0,594.795,0
12463,52,189,4,1344.78,65,776,Belgium,194.0,336.195,1
12464,9,300,8,1212.05,6,112,Belgium,14.0,151.50625,0
12465,16,153,2,742.1899999999999,46,479,Belgium,239.5,371.09499999999997,0
12468,187,129,2,729.5400000000001,36,366,Germany,183.0,364.77000000000004,1
12471,1,363,30,19788.65,150,8200,Germany,273.3333333333333,659.6216666666667,0
12472,31,337,7,6572.11,219,4148,Germany,592.5714285714286,938.8728571428571,1
12473,28,163,5,3928.0499999999997,140,2414,Germany,482.8,785.6099999999999,0
12474,16,313,18,7324.09,253,4833,Germany,268.5,406.8938888888889,0
12475,53,1,1,723.38,36,535,Germany,535.0,723.38,1
12476,15,346,11,6816.42,177,2408,Germany,218.9090909090909,619.6745454545454,0
12477,22,279,6,13219.74,191,3653,Germany,608.8333333333334,2203.29,0
12478,3,1,1,680.99,36,236,Greece,236.0,680.99,0
12479,10,1,1,527.2,31,385,Germany,385.0,527.2,0
12480,27,308,4,3281.63,129,1707,Germany,426.75,820.4075,0
12481,22,343,10,5579.82,150,3294,Germany,329.4,557.982,0
12483,16,323,8,2484.98,46,1110,Sweden,138.75,310.6225,0
12484,32,304,6,4527.32,256,2187,Spain,364.5,754.5533333333333,1
12488,9,66,3,1298.66,46,529,France,176.33333333333334,432.8866666666667,0
12489,335,1,1,334.93,15,105,France,105.0,334.93,1
12490,4,325,10,5417.93,131,3064,France,306.4,541.793,0
12491,38,1,1,460.40000000000003,25,260,France,260.0,460.40000000000003,1
12492,62,43,2,263.21000000000004,19,192,Germany,96.0,131.60500000000002,1
12493,165,32,2,433.74,20,207,France,103.5,216.87,1
12494,15,350,7,1246.1000000000001,63,707,France,101.0,178.01428571428573,0
12497,81,1,1,1043.1,14,1236,Germany,1236.0,1043.1,1
12498,20,37,3,403.70000000000005,21,159,Germany,53.0,134.5666666666667,0
12500,22,311,11,4257.82,34,2678,Germany,243.45454545454547,387.07454545454544,0
12501,336,1,1,2169.39,149,1783,Germany,1783.0,2169.39,1
12502,95,215,5,3723.87,102,820,Spain,164.0,744.774,1
12504,17,13,2,482.04999999999995,6,90,Germany,45.0,241.02499999999998,0
12506,232,1,1,73.5,23,23,France,23.0,73.5,1
12507,133,165,3,1304.81,19,894,Spain,298.0,434.93666666666667,1
12508,25,3,2,397.88,57,271,France,135.5,198.94,0
12509,283,1,1,176.5,7,55,France,55.0,176.5,1
12510,142,183,2,982.5699999999999,29,353,Spain,176.5,491.28499999999997,1
12512,65,1,2,132.18,31,96,Israel,48.0,66.09,1
12513,112,1,1,612.29,35,462,France,462.0,612.29,1
12514,266,1,1,1017.68,51,440,Italy,440.0,1017.68,1
12515,352,1,1,383.7,16,131,Italy,131.0,383.7,1
12516,77,103,2,1312.06,20,875,Germany,437.5,656.03,1
12517,27,162,5,2481.6,232,1361,Germany,272.2,496.32,0
12518,0,110,5,2056.89,84,1318,Germany,263.6,411.378,0
12519,63,1,1,330.84,17,175,Germany,175.0,330.84,1
12520,78,195,5,2634.26,121,1439,Germany,287.8,526.8520000000001,1
12521,142,1,1,599.68,38,309,Germany,309.0,599.68,1
12522,38,13,2,192.72,11,194,Germany,97.0,96.36,1
12523,18,313,11,1789.77,84,865,France,78.63636363636364,162.70636363636365,0
12524,8,325,8,4485.72,113,3699,Germany,462.375,560.715,0
12526,0,94,3,1316.66,64,632,Germany,210.66666666666666,438.8866666666667,0
12527,81,244,3,348.71000000000004,18,234,Germany,78.0,116.23666666666668,1
12528,8,304,6,1933.48,50,756,Germany,126.0,322.24666666666667,0
12530,59,278,4,1662.28,51,913,Germany,228.25,415.57,1
12531,14,1,1,125.22,17,45,Germany,45.0,125.22,0
12532,29,1,1,349.83000000000004,16,153,France,153.0,349.83000000000004,0
12534,130,1,1,1089.18,63,651,Germany,651.0,1089.18,1
12535,91,95,2,716.35,28,219,France,109.5,358.175,1
12536,42,16,3,12601.830000000002,260,2803,France,934.3333333333334,4200.610000000001,1
12538,28,1,1,363.95,21,191,Spain,191.0,363.95,0
12539,21,312,4,5568.35,157,2067,Spain,516.75,1392.0875,0
12540,19,343,17,13400.24,277,6685,Spain,393.2352941176471,788.2494117647059,0
12541,29,252,3,981.18,46,680,Spain,226.66666666666666,327.06,0
12544,35,1,1,372.7,19,136,Spain,136.0,372.7,1
12545,74,185,2,1000.39,42,523,Spain,261.5,500.195,1
12546,46,32,2,1161.5,59,633,Spain,316.5,580.75,1
12547,197,83,2,207.79999999999998,7,134,Spain,67.0,103.89999999999999,1
12548,165,1,1,95.19999999999999,5,49,Spain,49.0,95.19999999999999,1
12550,78,1,1,964.83,57,569,Spain,569.0,964.83,1
12551,357,1,1,168.0,10,100,Spain,100.0,168.0,1
12552,38,1,2,437.82,20,88,Italy,44.0,218.91,1
12553,7,322,10,3692.28,95,1965,France,196.5,369.228,0
12556,49,101,2,599.56,100,355,Spain,177.5,299.78,1
12557,15,356,5,11990.960000000001,15,4384,Spain,876.8,2398.192,0
12558,7,1,1,269.96,11,196,USA,196.0,269.96,0
12559,310,9,2,561.71,21,283,Germany,141.5,280.855,1
12560,4,138,3,2134.01,91,1110,Germany,370.0,711.3366666666667,0
12561,302,1,1,238.85,16,177,Germany,177.0,238.85,1
12562,7,191,7,3781.7400000000002,99,1779,France,254.14285714285714,540.2485714285715,0
12564,260,1,1,456.9,21,133,France,133.0,456.9,1
12565,288,1,1,145.92,9,80,Saudi Arabia,80.0,145.92,1
12566,85,1,1,351.65,19,265,Germany,265.0,351.65,1
12567,22,347,10,9401.28,323,4305,France,430.5,940.128,0
12569,1,251,32,4124.69,92,1801,Germany,56.28125,128.8965625,0
12571,39,82,2,519.61,31,523,France,261.5,259.805,1
12572,8,44,2,1020.42,53,452,Germany,226.0,510.21,0
12573,226,1,1,160.54000000000002,26,84,France,84.0,160.54000000000002,1
12574,315,1,1,218.45,11,61,France,61.0,218.45,1
12576,35,269,5,1315.83,72,967,Poland,193.4,263.166,1
12577,34,324,3,626.6,137,469,France,156.33333333333334,208.86666666666667,1
12578,20,309,2,2794.51,111,1196,Italy,598.0,1397.255,0
12579,77,1,1,440.42,29,285,France,285.0,440.42,1
12580,246,1,1,415.7,24,238,Germany,238.0,415.7,1
12581,39,1,1,197.71,15,161,Germany,161.0,197.71,1
12582,238,50,2,511.36,21,300,Finland,150.0,255.68,1
12583,2,371,15,7281.38,115,5060,France,337.3333333333333,485.42533333333336,0
12584,3,277,9,2338.15,44,416,Italy,46.22222222222222,259.7944444444445,0
12585,233,118,2,2040.1,77,1279,Germany,639.5,1020.05,1
12586,16,1,1,196.94000000000003,11,79,Italy,79.0,196.94000000000003,0
12587,7,1,1,144.0,4,51,Finland,51.0,144.0,0
12588,38,1,1,214.89999999999998,10,53,Finland,53.0,214.89999999999998,1
12589,28,116,2,646.68,29,306,France,153.0,323.34,0
12590,210,1,2,9864.26,68,4283,Germany,2141.5,4932.13,1
12591,316,1,1,452.84999999999997,26,228,Italy,228.0,452.84999999999997,1
12592,91,122,2,437.6,11,290,Germany,145.0,218.8,1
12593,108,111,3,418.09999999999997,14,206,France,68.66666666666667,139.36666666666665,1
12594,37,286,10,3338.2200000000003,50,1777,Italy,177.7,333.822,1
12596,50,191,2,618.27,25,474,Spain,237.0,309.135,1
12597,18,249,4,3811.22,184,2236,Spain,559.0,952.805,0
12598,9,276,8,3023.08,84,1964,France,245.5,377.885,0
12599,28,276,7,1032.58,32,956,France,136.57142857142858,147.51142857142855,0
12600,28,343,10,2599.04,32,774,Germany,77.4,259.904,0
12601,189,143,5,577.0600000000001,21,245,Germany,49.0,115.412,1
12602,58,1,1,153.12,12,162,France,162.0,153.12,1
12603,21,1,1,739.1999999999999,2,63,Germany,63.0,739.1999999999999,0
12604,78,183,2,254.18,15,201,France,100.5,127.09,1
12607,59,1,1,1579.51,101,1228,USA,1228.0,1579.51,1
12609,77,241,3,1126.85,57,648,Germany,216.0,375.6166666666666,1
12610,22,104,5,2099.54,85,1049,Italy,209.8,419.908,0
12611,51,1,1,1193.32,65,846,Italy,846.0,1193.32,1
12612,73,1,1,704.0400000000001,19,262,Germany,262.0,704.0400000000001,1
12613,56,205,5,3344.38,124,1644,Germany,328.8,668.876,1
12614,277,1,1,315.6,20,76,Germany,76.0,315.6,1
12615,1,167,4,2291.19,82,1376,France,344.0,572.7975,0
12616,94,203,2,713.3,25,284,France,142.0,356.65,1
12617,28,1,1,352.98,39,210,France,210.0,352.98,0
12618,21,1,1,177.31,11,96,Italy,96.0,177.31,0
12619,15,238,9,3641.24,50,3378,Germany,375.3333333333333,404.5822222222222,0
12620,14,190,3,1339.41,89,1181,France,393.6666666666667,446.47,0
12621,1,365,20,13689.67,261,7440,Germany,372.0,684.4835,0
12622,231,1,1,180.1,11,69,Germany,69.0,180.1,1
12623,275,1,1,305.1,18,191,Germany,191.0,305.1,1
12624,105,72,2,641.13,36,355,France,177.5,320.565,1
12625,211,108,2,2683.82,73,1612,Germany,806.0,1341.91,1
12626,22,304,9,6620.48,232,3453,Germany,383.6666666666667,735.6088888888888,0
12627,10,130,7,4478.53,162,2752,Germany,393.14285714285717,639.79,0
12628,3,61,3,786.46,34,448,Germany,149.33333333333334,262.15333333333336,0
12630,9,35,2,1270.88,60,548,Finland,274.0,635.44,0
12631,56,1,1,640.5,31,236,Finland,236.0,640.5,1
12633,58,230,4,2163.98,73,1162,Germany,290.5,540.995,1
12635,89,66,2,1689.18,96,1172,Germany,586.0,844.59,1
12637,66,257,8,6002.9,205,2994,France,374.25,750.3625,1
12638,32,1,1,671.69,39,577,Sweden,577.0,671.69,1
12639,238,1,1,486.1,22,201,Sweden,201.0,486.1,1
12640,23,58,3,1174.58,47,311,France,103.66666666666667,391.52666666666664,0
12641,114,1,1,185.9,10,72,Sweden,72.0,185.9,1
12642,24,83,3,1013.26,39,552,Germany,184.0,337.75333333333333,0
12643,127,205,6,3344.64,11,1808,France,301.3333333333333,557.4399999999999,1
12644,129,1,1,477.91,31,325,Germany,325.0,477.91,1
12645,33,283,4,1775.18,58,1084,Germany,271.0,443.795,1
12646,4,45,2,1346.97,43,897,USA,448.5,673.485,0
12647,21,347,12,3722.82,78,1431,Germany,119.25,310.235,0
12648,154,1,1,318.05,21,160,Germany,160.0,318.05,1
12649,106,106,3,623.51,28,586,Germany,195.33333333333334,207.83666666666667,1
12650,2,1,1,314.44,20,254,France,254.0,314.44,0
12651,334,1,1,114.0,9,78,France,78.0,114.0,1
12652,330,1,1,919.98,48,505,France,505.0,919.98,1
12653,148,148,2,2209.85,37,919,Israel,459.5,1104.925,1
12654,10,285,5,601.98,31,264,Germany,52.8,120.396,0
12656,16,217,5,4051.17,89,1723,France,344.6,810.234,0
12657,10,68,4,1643.18,35,1044,France,261.0,410.795,0
12658,18,1,1,686.05,36,320,Germany,320.0,686.05,0
12659,29,1,1,91.68,5,105,France,105.0,91.68,0
12660,10,1,1,245.1,13,127,France,127.0,245.1,0
12662,0,373,11,3849.78,129,2058,Germany,187.0909090909091,349.98,0
12664,7,315,9,4881.88,10,1203,Finland,133.66666666666666,542.4311111111111,0
12665,324,1,1,63.0,3,37,Germany,37.0,63.0,1
12667,57,1,1,620.13,33,395,Finland,395.0,620.13,1
12668,11,344,4,3807.15,115,1634,Germany,408.5,951.7875,0
12669,150,106,3,2744.0299999999997,98,1115,France,371.6666666666667,914.6766666666666,1
12670,9,223,5,2996.05,58,1397,France,279.4,599.21,0
12672,329,1,1,225.89999999999998,10,78,France,78.0,225.89999999999998,1
12673,4,322,2,610.52,42,351,Germany,175.5,305.26,0
12674,38,170,4,1970.6,52,1133,France,283.25,492.65,1
12676,24,287,6,1331.39,33,670,Sweden,111.66666666666667,221.89833333333334,0
12678,41,312,12,17628.46,105,10923,France,910.25,1469.0383333333332,1
12679,58,226,4,1113.02,43,554,France,138.5,278.255,1
12680,0,113,4,862.81,33,443,France,110.75,215.7025,0
12681,14,354,22,13787.54,267,7536,France,342.54545454545456,626.7063636363637,0
12682,3,368,31,12279.82,209,5555,France,179.19354838709677,396.1232258064516,0
12683,3,362,15,8476.57,177,4987,France,332.46666666666664,565.1046666666666,0
12684,7,206,7,2283.63,61,1985,France,283.57142857142856,326.23285714285714,0
12685,27,66,6,2863.08,117,1523,France,253.83333333333334,477.18,0
12686,371,1,1,89.14,7,107,France,107.0,89.14,1
12688,113,1,1,4873.8099999999995,171,3028,Israel,3028.0,4873.8099999999995,1
12689,25,102,2,1247.61,57,628,France,314.0,623.805,0
12690,205,1,1,389.01,16,106,France,106.0,389.01,1
12691,27,330,6,1035.8,21,394,France,65.66666666666667,172.63333333333333,0
12693,126,193,4,855.91,35,255,Germany,63.75,213.9775,1
12694,69,113,2,869.67,32,509,France,254.5,434.835,1
12695,6,204,4,582.1,23,220,France,55.0,145.525,0
12697,28,141,3,957.59,37,508,Sweden,169.33333333333334,319.19666666666666,0
12700,7,208,4,4939.99,193,2967,France,741.75,1234.9975,0
12701,79,163,2,797.71,50,678,Germany,339.0,398.855,1
12702,19,1,1,219.0,12,53,Germany,53.0,219.0,0
12703,70,1,1,283.55,21,164,Germany,164.0,283.55,1
12704,6,163,8,2340.84,64,1006,Finland,125.75,292.605,0
12705,14,342,9,6868.29,228,3997,Germany,444.1111111111111,763.1433333333333,0
12707,291,1,1,603.42,33,256,France,256.0,603.42,1
12708,29,339,10,2712.91,86,1307,Germany,130.7,271.291,0
12709,14,352,15,9706.52,93,3912,Germany,260.8,647.1013333333334,0
12710,96,105,3,1149.02,75,851,Germany,283.6666666666667,383.00666666666666,1
12712,28,343,13,4396.13,58,1062,Germany,81.6923076923077,338.1638461538462,0
12713,0,1,1,848.55,38,508,Germany,508.0,848.55,0
12714,8,286,5,4708.86,216,3069,France,613.8,941.7719999999999,0
12715,105,1,1,343.36,20,192,Sweden,192.0,343.36,1
12716,3,130,2,1053.49,60,708,France,354.0,526.745,0
12717,150,95,2,1030.98,49,506,Greece,253.0,515.49,1
12718,70,1,1,238.25,19,203,France,203.0,238.25,1
12719,4,60,2,644.95,34,374,France,187.0,322.475,0
12720,2,367,25,5781.73,211,4672,Germany,186.88,231.26919999999998,0
12721,31,324,6,2656.13,133,1959,France,326.5,442.68833333333333,1
12722,84,66,4,997.63,50,566,France,141.5,249.4075,1
12723,3,62,5,725.07,53,434,France,86.8,145.014,0
12724,4,328,4,1031.41,47,445,France,111.25,257.8525,0
12725,370,1,1,427.8,24,164,Italy,164.0,427.8,1
12726,27,330,7,2609.1,57,3143,France,449.0,372.7285714285714,0
12727,10,310,7,3980.7,109,2098,France,299.7142857142857,568.6714285714286,0
12728,70,262,4,836.33,38,419,France,104.75,209.0825,1
12729,113,1,1,453.01,26,233,France,233.0,453.01,1
12731,23,342,12,18895.91,109,8437,France,703.0833333333334,1574.6591666666666,0
12732,179,1,1,236.26000000000002,12,111,France,111.0,236.26000000000002,1
12733,233,1,1,383.95,22,137,USA,137.0,383.95,1
12734,352,1,1,110.39999999999999,4,88,France,88.0,110.39999999999999,1
12735,314,22,2,779.5699999999999,38,368,France,184.0,389.78499999999997,1
12736,332,1,1,234.0,4,173,France,173.0,234.0,1
12738,371,1,1,155.35,11,148,Germany,148.0,155.35,1
12739,77,21,2,1013.04,38,486,United Arab Emirates,243.0,506.52,1
12740,63,1,1,427.6,27,342,France,342.0,427.6,1
12743,133,1,2,540.13,114,315,Unspecified,157.5,270.065,1
12744,51,267,7,21279.29,178,5241,Singapore,748.7142857142857,3039.8985714285714,1
12747,1,367,11,4196.01,42,1275,United Kingdom,115.9090909090909,381.4554545454546,0
12748,0,373,209,33053.19,1768,25287,United Kingdom,120.99043062200957,158.14923444976077,0
12749,3,210,5,4090.88,160,1471,United Kingdom,294.2,818.176,0
12750,128,1,1,275.88,15,137,Poland,137.0,275.88,1
12752,80,1,1,4366.78,53,2262,Norway,2262.0,4366.78,1
12753,22,340,6,21429.39,132,11421,Japan,1903.5,3571.565,0
12754,235,73,3,3010.74,49,6481,Japan,2160.3333333333335,1003.5799999999999,1
12755,280,86,2,3811.95,4,1491,Japan,745.5,1905.975,1
12756,86,1,1,112.07999999999998,4,144,Japan,144.0,112.07999999999998,1
12757,15,196,13,7834.650000000001,237,2395,Portugal,184.23076923076923,602.6653846153847,0
12758,116,160,2,2791.59,84,2135,Portugal,1067.5,1395.795,1
12759,51,224,3,1531.44,81,902,Netherlands,300.6666666666667,510.48,1
12762,7,18,2,1898.52,62,1227,Portugal,613.5,949.26,0
12763,137,231,2,494.08,16,316,Japan,158.0,247.04,1
12764,316,1,1,1693.88,45,386,Lebanon,386.0,1693.88,1
12766,3,363,7,6989.63,205,3646,Portugal,520.8571428571429,998.5185714285715,0
12769,238,1,1,1143.6,32,356,Brazil,356.0,1143.6,1
12770,210,1,1,1351.45,12,743,Japan,743.0,1351.45,1
12772,59,1,1,892.47,55,556,Portugal,556.0,892.47,1
12775,16,295,5,1386.04,47,877,Netherlands,175.4,277.20799999999997,0
12778,19,293,6,822.23,40,825,Netherlands,137.5,137.03833333333333,0
12779,37,334,8,3981.36,88,2024,Poland,253.0,497.67,1
12781,63,222,2,826.74,25,671,Czech Republic,335.5,413.37,1
12782,4,353,5,2330.92,81,1086,Portugal,217.2,466.184,0
12783,1,74,6,2225.91,76,624,Portugal,104.0,370.98499999999996,0
12784,8,7,2,532.8199999999999,54,280,Portugal,140.0,266.40999999999997,0
12785,363,1,1,311.95,14,131,Portugal,131.0,311.95,1
12787,9,183,3,463.66,17,261,Netherlands,87.0,154.55333333333334,0
12789,64,1,1,91.85,4,4,Netherlands,4.0,91.85,1
12790,191,1,1,324.92,21,166,Netherlands,166.0,324.92,1
12791,373,1,1,192.60000000000002,2,97,Netherlands,97.0,192.60000000000002,1
12792,256,1,1,400.53999999999996,25,217,Portugal,217.0,400.53999999999996,1
12793,334,37,2,545.48,21,295,Portugal,147.5,272.74,1
12794,52,46,2,860.41,43,592,Portugal,296.0,430.205,1
12795,18,1,1,430.48,14,68,Portugal,68.0,430.48,0
12797,365,1,1,254.03,13,118,Portugal,118.0,254.03,1
12798,9,161,3,6977.04,6,5256,Japan,1752.0,2325.68,0
12802,186,1,1,427.58,25,314,Netherlands,314.0,427.58,1
12808,36,332,3,483.65000000000003,27,188,Portugal,62.666666666666664,161.21666666666667,1
12809,177,1,1,489.31,25,220,Portugal,220.0,489.31,1
12811,260,24,3,514.85,27,230,Portugal,76.66666666666667,171.61666666666667,1
12812,44,1,1,229.64000000000001,15,164,Japan,164.0,229.64000000000001,1
12814,101,1,1,125.92,2,49,Poland,49.0,125.92,1
12815,147,51,2,1063.46,38,379,Poland,189.5,531.73,1
12816,95,81,2,572.2,27,128,Poland,64.0,286.1,1
12817,280,1,1,166.04,4,53,Austria,53.0,166.04,1
12818,261,1,1,1542.08,14,929,Austria,929.0,1542.08,1
12820,2,324,4,942.34,55,722,United Kingdom,180.5,235.585,0
12821,213,1,1,92.72,6,70,United Kingdom,70.0,92.72,1
12822,70,17,2,948.88,41,550,United Kingdom,275.0,474.44,1
12823,74,222,5,1759.5,1,230,United Kingdom,46.0,351.9,1
12824,59,1,1,397.12,25,232,United Kingdom,232.0,397.12,1
12826,2,363,7,1474.72,58,1058,United Kingdom,151.14285714285714,210.67428571428573,0
12827,5,39,3,430.15000000000003,19,197,United Kingdom,65.66666666666667,143.38333333333335,0
12828,2,128,6,1018.71,46,494,United Kingdom,82.33333333333333,169.785,0
12829,336,24,2,293.0,9,376,United Kingdom,188.0,146.5,1
12830,37,135,6,6814.64,13,9848,United Kingdom,1641.3333333333333,1135.7733333333333,1
12831,261,1,1,215.05,9,135,United Kingdom,135.0,215.05,1
12832,31,66,2,383.03,27,195,United Kingdom,97.5,191.515,1
12833,144,1,1,417.38,24,156,United Kingdom,156.0,417.38,1
12834,282,1,1,312.38,18,110,United Kingdom,110.0,312.38,1
12836,58,253,4,2610.36,148,1062,United Kingdom,265.5,652.59,1
12837,172,1,1,134.1,12,24,United Kingdom,24.0,134.1,1
12838,33,341,2,671.95,115,355,United Kingdom,177.5,335.975,1
12839,2,365,14,5591.42,95,3807,United Kingdom,271.92857142857144,399.38714285714286,0
12840,143,83,4,2726.77,67,1511,United Kingdom,377.75,681.6925,1
12841,4,368,25,3991.58,229,2720,United Kingdom,108.8,159.6632,0
12842,69,239,2,1118.99,34,547,United Kingdom,273.5,559.495,1
12843,65,199,8,1702.26,69,781,United Kingdom,97.625,212.7825,1
12844,28,102,2,325.96000000000004,47,125,United Kingdom,62.5,162.98000000000002,0
12845,266,23,4,354.09,26,204,United Kingdom,51.0,88.5225,1
12847,21,1,1,843.64,72,873,United Kingdom,873.0,843.64,0
12849,30,238,2,1010.29,47,597,United Kingdom,298.5,505.145,1
12851,96,1,1,131.81,43,106,United Kingdom,106.0,131.81,1
