ds,y
2011-04-04,28998.010000000002
2011-04-05,28667.42
2011-04-06,12698.32
2011-04-07,16780.32
2011-04-08,22673.91
2011-04-10,9879.75
2011-04-11,20179.7
2011-04-12,23988.6
2011-04-13,24450.27
2011-04-14,35682.73
2011-04-15,17999.181
2011-04-17,12630.34
2011-04-18,43671.37
2011-04-19,18811.19
2011-04-20,25715.8
2011-04-21,27771.04
2011-04-26,21536.86
2011-04-27,23566.91
2011-04-28,21312.18
2011-05-01,6958.11
2011-05-03,28877.21
2011-05-04,27509.81
2011-05-05,25191.79
2011-05-06,30783.33
2011-05-08,18731.98
2011-05-09,21608.16
2011-05-10,29807.25
2011-05-11,31848.3
2011-05-12,59827.74
2011-05-13,25815.72
2011-05-15,9667.15
2011-05-16,35706.7
2011-05-17,46361.090000000004
2011-05-18,32775.69
2011-05-19,31521.87
2011-05-20,25351.44
2011-05-22,24102.0
2011-05-23,31232.53
2011-05-24,32460.83
2011-05-25,21870.71
2011-05-26,32764.38
2011-05-27,21109.22
2011-05-29,7338.9400000000005
2011-05-31,18133.2
2011-06-01,15380.39
2011-06-02,28078.91
2011-06-03,15024.11
2011-06-05,25423.760000000002
2011-06-06,16269.03
2011-06-07,33807.85
2011-06-08,30122.23
2011-06-09,42862.8
2011-06-10,58245.12
2011-06-12,12397.09
2011-06-13,19696.66
2011-06-14,33324.49
2011-06-15,44954.18
2011-06-16,32252.1
2011-06-17,19053.53
2011-06-19,22421.48
2011-06-20,26110.99
2011-06-21,19827.91
2011-06-22,21143.75
2011-06-23,22469.62
2011-06-24,16016.04
2011-06-26,7032.36
2011-06-27,13381.75
2011-06-28,30470.88
2011-06-29,12569.78
2011-06-30,41709.24
2011-07-01,12146.44
2011-07-03,5972.7300000000005
2011-07-04,30941.37
2011-07-05,25988.510000000002
2011-07-06,22934.22
2011-07-07,27860.38
2011-07-08,17538.5
2011-07-10,5959.54
2011-07-11,20008.83
2011-07-12,17938.49
2011-07-13,19411.52
2011-07-14,31979.04
2011-07-15,11814.7
2011-07-17,16926.15
2011-07-18,22001.63
2011-07-19,46583.01
2011-07-20,27021.06
2011-07-21,30271.94
2011-07-22,14628.880000000001
2011-07-24,26777.92
2011-07-25,19676.55
2011-07-26,17284.301
2011-07-27,22846.13
2011-07-28,54171.95
2011-07-29,17166.75
2011-07-31,33112.36
2011-08-01,19778.12
2011-08-02,20272.0
2011-08-03,26572.83
2011-08-04,62074.19
2011-08-05,19703.95
2011-08-07,7541.91
2011-08-08,19743.98
2011-08-09,25949.920000000002
2011-08-10,19853.41
2011-08-11,54325.27
2011-08-12,17970.170000000002
2011-08-14,5701.87
2011-08-15,17235.95
2011-08-16,16072.710000000001
2011-08-17,48554.44
2011-08-18,54034.98
2011-08-19,17326.07
2011-08-21,14410.25
2011-08-22,29617.26
2011-08-23,22384.02
2011-08-24,38371.37
2011-08-25,22441.260000000002
2011-08-26,24095.49
2011-08-28,10686.56
2011-08-30,8805.17
2011-08-31,20527.89
2011-09-01,37358.62
2011-09-02,30203.86
2011-09-04,16930.43
2011-09-05,35439.91
2011-09-06,25466.97
2011-09-07,21967.420000000002
2011-09-08,23048.38
2011-09-09,25082.86
2011-09-11,35206.92
2011-09-12,27777.36
2011-09-13,48116.5
2011-09-14,22013.75
2011-09-15,71926.69
2011-09-16,23245.03
2011-09-18,15639.55
2011-09-19,46588.21
2011-09-20,103377.68
2011-09-21,38472.1
2011-09-22,57734.98
2011-09-23,31753.75
2011-09-25,31164.781
2011-09-26,29265.511
2011-09-27,29212.32
2011-09-28,39001.91
2011-09-29,44671.27
2011-09-30,40023.44
2011-10-02,11479.98
2011-10-03,62143.07
2011-10-04,38532.090000000004
2011-10-05,73975.56999999999
2011-10-06,60258.53
2011-10-07,49089.47
2011-10-09,12215.51
2011-10-10,42962.8
2011-10-11,46401.14
2011-10-12,27655.2
2011-10-13,32850.25
2011-10-14,32071.62
2011-10-16,21767.94
2011-10-17,46868.65
2011-10-18,37248.16
2011-10-19,37227.88
2011-10-20,60910.3
2011-10-21,60364.01
2011-10-23,12156.57
2011-10-24,38897.89
2011-10-25,36113.86
2011-10-26,34105.36
2011-10-27,55747.2
2011-10-28,37194.58
2011-10-30,34397.95
2011-10-31,33006.87
2011-11-01,29069.56
2011-11-02,38536.44
2011-11-03,60536.090000000004
2011-11-04,55716.47
2011-11-06,42508.590000000004
2011-11-07,28602.73
2011-11-08,38151.91
2011-11-09,61241.58
2011-11-10,70373.03
2011-11-11,36932.07
2011-11-13,28416.01
2011-11-14,58595.22
2011-11-15,47535.51
2011-11-16,48154.12
2011-11-17,55683.49
2011-11-18,36606.25
2011-11-20,29642.39
2011-11-21,45202.01
2011-11-22,49438.55
2011-11-23,71722.75
2011-11-24,38359.69
2011-11-25,26542.33
2011-11-27,16969.25
2011-11-28,51632.21
2011-11-29,48640.57
2011-11-30,41396.79
2011-12-01,44405.37
2011-12-02,44526.1
2011-12-04,20232.0
2011-12-05,58081.090000000004
2011-12-06,45989.66
2011-12-07,69230.6
2011-12-08,50395.96
2011-12-09,184329.66
